#RPLIDAR SCAN DATA
#COUNT=881
#Angule	Distance	Quality
34.3872 686.0 188
34.7498 680.0 188
35.0574 676.0 188
35.3540 674.0 188
35.6671 670.0 188
35.9637 668.0 188
36.3263 664.0 188
36.6229 660.0 188
36.9360 658.0 188
37.2327 658.0 188
37.5458 656.0 188
37.8424 656.0 188
38.1555 654.0 188
38.4521 654.0 188
38.7488 654.0 188
39.0619 652.0 188
39.3585 652.0 188
39.6716 652.0 188
39.9683 650.0 188
40.2759 650.0 188
40.5780 650.0 188
40.8746 648.0 188
41.1823 648.0 188
41.4844 648.0 188
41.7920 648.0 188
42.1545 646.0 188
42.4512 646.0 188
42.7643 646.0 188
43.0609 644.0 188
43.3575 644.0 188
43.6707 644.0 188
43.9673 644.0 188
44.2804 644.0 188
44.5770 644.0 188
44.8901 642.0 188
45.1868 642.0 188
45.4834 642.0 188
45.7965 642.0 188
46.0931 642.0 188
46.4063 642.0 188
46.7029 642.0 188
46.9995 642.0 188
47.3071 640.0 188
47.6093 640.0 188
47.9059 640.0 188
48.2135 640.0 188
48.5156 640.0 188
48.8232 640.0 188
49.1199 640.0 188
49.4165 640.0 188
49.7296 640.0 188
50.0262 640.0 188
50.3394 640.0 188
50.6360 640.0 188
50.9326 640.0 188
51.2457 640.0 188
51.5424 640.0 188
51.8390 640.0 188
52.1521 640.0 188
52.4487 640.0 188
52.7618 640.0 188
53.0585 640.0 188
53.3551 642.0 188
53.6682 642.0 188
53.9648 642.0 188
54.2780 642.0 188
54.5746 642.0 188
54.8712 642.0 188
55.1843 642.0 188
55.4810 642.0 188
55.7776 644.0 188
56.0907 644.0 188
56.3873 644.0 188
56.7004 644.0 188
56.9971 644.0 188
57.2937 644.0 188
57.6068 646.0 188
57.9034 646.0 188
58.2166 646.0 188
58.5132 646.0 188
58.8098 646.0 188
59.0625 648.0 188
59.3591 648.0 188
59.6667 648.0 188
59.9634 648.0 188
60.2765 650.0 188
60.5731 650.0 188
60.8698 652.0 188
61.1829 652.0 188
61.4795 652.0 188
61.7926 652.0 188
62.0892 652.0 188
62.3859 654.0 188
62.6990 654.0 188
62.9956 656.0 188
63.2922 656.0 188
63.6053 658.0 188
63.9020 658.0 188
64.2151 658.0 188
64.5117 660.0 188
64.8083 660.0 188
65.1215 662.0 188
65.4181 662.0 188
65.7312 664.0 188
66.0278 664.0 188
66.2805 666.0 188
66.5771 666.0 188
66.8903 668.0 188
67.1869 668.0 188
67.4835 668.0 188
67.7966 670.0 188
68.0933 672.0 188
68.3899 672.0 188
68.7030 674.0 188
68.9996 674.0 188
69.3073 676.0 188
69.6094 678.0 188
69.9060 678.0 188
70.2136 680.0 188
70.5103 680.0 188
70.8234 682.0 188
71.0596 684.0 188
71.3727 684.0 188
71.6693 686.0 188
71.9659 688.0 188
72.2791 690.0 188
72.5757 690.0 188
72.8888 692.0 188
73.1854 694.0 188
73.4821 694.0 188
73.7952 696.0 188
74.0918 698.0 188
74.3884 700.0 188
74.7015 700.0 188
74.9982 702.0 188
75.2454 706.0 188
75.5420 706.0 188
75.8386 708.0 188
76.1517 710.0 188
76.4484 712.0 188
76.7450 714.0 188
77.0581 716.0 188
77.3547 718.0 188
77.6514 720.0 188
77.9645 722.0 188
78.2007 724.0 188
78.5138 726.0 188
78.8104 728.0 188
79.1071 730.0 188
79.4202 732.0 188
79.7168 734.0 188
80.0134 736.0 188
80.3265 738.0 188
80.6232 740.0 188
80.9198 742.0 188
81.2329 744.0 188
81.4636 748.0 188
81.7767 750.0 188
82.0734 752.0 188
82.3700 754.0 188
82.6666 756.0 188
82.9797 760.0 188
83.2764 762.0 188
83.5730 764.0 188
83.8861 768.0 188
84.1223 770.0 188
84.4354 772.0 188
84.7321 774.0 188
85.0287 778.0 188
85.3418 780.0 188
85.6384 784.0 188
85.9351 786.0 188
86.2482 788.0 188
86.5448 792.0 188
86.7920 796.0 188
87.0886 798.0 188
87.3853 802.0 188
87.6984 806.0 188
87.9950 808.0 188
88.2916 812.0 188
88.6047 816.0 188
88.9014 818.0 188
89.1541 822.0 188
89.4507 826.0 188
89.7473 828.0 188
90.0604 832.0 188
90.3571 836.0 188
90.6537 840.0 188
90.9668 842.0 188
91.2634 846.0 188
91.5106 850.0 188
91.8073 854.0 188
92.1094 858.0 188
92.4060 862.0 188
92.7136 866.0 188
93.0103 870.0 188
93.3124 874.0 188
93.6200 878.0 188
93.8562 882.0 188
94.1693 886.0 188
94.4659 892.0 188
94.7626 896.0 188
95.0757 902.0 188
95.3723 904.0 188
95.6689 910.0 188
95.9216 914.0 188
96.2183 918.0 188
96.5259 924.0 188
96.8280 930.0 188
97.1246 934.0 188
97.4323 940.0 188
97.7344 944.0 188
97.9816 950.0 188
98.2782 956.0 188
98.5748 960.0 188
98.8879 966.0 188
99.1846 972.0 188
99.4812 976.0 188
99.7339 984.0 188
100.0305 990.0 188
100.3436 994.0 188
100.6403 1002.0 188
100.9369 1008.0 188
101.2500 1014.0 188
101.5466 1022.0 188
101.7938 1028.0 188
102.0905 1032.0 188
102.3871 1040.0 188
102.7002 1048.0 188
102.9968 1054.0 188
103.2935 1062.0 188
103.6066 1068.0 188
103.8428 1076.0 188
104.1559 1084.0 188
104.4525 1092.0 188
104.7491 1100.0 188
105.0623 1108.0 188
105.3589 1114.0 188
105.6061 1122.0 188
105.9027 1132.0 188
106.2158 1140.0 188
106.5125 1150.0 188
106.8091 1158.0 188
107.1222 1168.0 188
107.3584 1178.0 188
107.6715 1186.0 188
107.9681 1196.0 188
108.2648 1206.0 188
108.5779 1216.0 188
108.8745 1226.0 188
109.1217 1236.0 188
109.4183 1246.0 188
109.7314 1256.0 188
110.0281 1268.0 188
110.3247 1280.0 188
110.6378 1292.0 188
110.8740 1302.0 188
111.1871 1314.0 188
111.4838 1328.0 188
111.7804 1342.0 188
112.0935 1354.0 188
112.3242 1370.0 188
112.6373 1382.0 188
112.9340 1394.0 188
113.2306 1410.0 188
113.5437 1424.0 188
113.8403 1438.0 188
114.0930 1454.0 188
114.3896 1470.0 188
114.7028 1486.0 188
114.9994 1502.0 188
115.2960 1520.0 188
115.5432 1538.0 188
115.8398 1556.0 188
116.1530 1570.0 188
116.4496 1588.0 188
116.7462 1608.0 188
117.0593 1630.0 188
117.3120 1650.0 188
117.6086 1668.0 188
117.9053 1690.0 188
118.2184 1710.0 188
118.5150 1736.0 188
118.7622 1760.0 188
119.0588 1780.0 188
119.3555 1804.0 188
119.6686 1832.0 188
119.9652 1858.0 188
120.2618 1882.0 188
120.5145 1908.0 188
120.8276 1934.0 188
121.1243 1966.0 188
121.4209 1998.0 188
121.7340 2032.0 188
121.9647 2060.0 188
122.2778 2088.0 188
122.5745 2124.0 188
122.8711 2156.0 188
123.1842 2188.0 188
123.4808 2232.0 188
123.7335 2268.0 188
124.0302 2304.0 188
124.3268 2348.0 188
124.9365 2392.0 188
125.5737 1524.0 188
125.8704 1522.0 188
126.1835 1518.0 188
126.4801 1506.0 188
126.7767 1498.0 188
127.0898 1492.0 188
127.3865 1486.0 188
127.6831 1482.0 188
127.9962 1480.0 188
128.2928 1480.0 188
128.5895 1480.0 188
128.9026 1484.0 188
129.1992 1488.0 188
129.4958 1492.0 188
129.8090 1498.0 188
130.1056 1506.0 188
130.4022 1514.0 188
130.7153 1522.0 188
131.0120 1534.0 188
131.2646 1544.0 188
131.5613 1552.0 188
131.8744 1564.0 188
132.4841 1586.0 188
133.6377 1644.0 188
133.9343 1640.0 188
134.2969 1628.0 188
134.5935 1614.0 188
134.9011 1606.0 188
135.1978 1600.0 188
135.4999 1598.0 188
135.8075 1596.0 188
136.1041 1590.0 188
136.4172 1588.0 188
136.7139 1586.0 188
137.0105 1582.0 188
137.3236 1578.0 188
137.6202 1578.0 188
137.9169 1576.0 188
138.2300 1574.0 188
138.5266 1574.0 188
138.8397 1574.0 188
139.1364 1576.0 188
139.4330 1588.0 188
139.7461 1610.0 188
140.0427 1622.0 188
140.6525 1630.0 188
141.1688 3024.0 188
141.4655 3028.0 188
141.7786 3032.0 188
142.0752 3032.0 188
142.3883 3028.0 188
142.6849 3028.0 188
142.9816 3032.0 188
143.2947 3032.0 188
143.5913 3032.0 188
143.8879 3032.0 188
144.2010 3028.0 188
144.4977 3028.0 188
144.8108 3036.0 188
145.1074 3060.0 188
145.3546 3076.0 188
145.6512 3084.0 188
145.9644 3084.0 188
146.2610 3084.0 188
146.5576 3088.0 188
146.8707 3092.0 188
147.4805 3092.0 188
147.9968 2076.0 188
148.3099 2080.0 188
148.6066 2080.0 188
148.9032 2080.0 188
149.2163 2080.0 188
149.5129 2080.0 188
149.8260 2076.0 188
150.1227 2072.0 188
150.4193 2072.0 188
150.7324 2072.0 188
151.0291 2072.0 188
151.3257 2076.0 188
151.6388 2076.0 188
151.9354 2072.0 188
152.2485 2072.0 188
152.5452 2076.0 188
152.8418 2076.0 188
153.1549 2076.0 188
153.4515 2076.0 188
153.7646 2076.0 188
154.0613 2080.0 188
154.3579 2084.0 188
154.6710 2092.0 188
154.9677 2092.0 188
155.2643 2096.0 188
155.5774 2100.0 188
155.8740 2104.0 188
156.1871 2108.0 188
156.4838 2108.0 188
156.7804 2112.0 188
157.0935 2116.0 188
157.3901 2120.0 188
157.6978 2124.0 188
157.9999 2124.0 188
158.2965 2128.0 188
158.6041 2136.0 188
158.9063 2136.0 188
159.2029 2144.0 188
159.5105 2148.0 188
159.8071 2156.0 188
160.1202 2164.0 188
160.4169 2168.0 188
160.7135 2172.0 188
161.0266 2180.0 188
161.3232 2180.0 188
161.6364 2188.0 188
161.9330 2188.0 188
162.2296 2192.0 188
162.5427 2196.0 188
162.8394 2200.0 188
163.1525 2200.0 188
163.4491 2212.0 188
163.7457 2220.0 188
164.0588 2224.0 188
164.3555 2232.0 188
164.6082 2240.0 188
164.9048 2248.0 188
165.2179 2256.0 188
165.5145 2260.0 188
165.8112 2264.0 188
166.1243 2276.0 188
166.4209 2292.0 188
166.7340 2304.0 188
167.0306 2312.0 188
167.3273 2320.0 188
167.6404 2328.0 188
167.9370 2348.0 188
168.2336 2364.0 188
168.5468 2368.0 188
168.8434 2376.0 188
169.1510 2388.0 188
169.4531 2392.0 188
169.7498 2388.0 188
170.0574 2392.0 188
170.3540 2396.0 188
170.6671 2404.0 188
170.9637 2408.0 188
171.2604 2404.0 188
171.5735 2404.0 188
171.8701 2416.0 188
172.1832 2424.0 188
172.4799 2428.0 188
172.7765 2432.0 188
173.0896 2440.0 188
173.3862 2444.0 188
173.6829 2456.0 188
173.9355 2464.0 188
174.2487 2472.0 188
174.8419 2480.0 188
175.7648 1224.0 188
176.0779 1220.0 188
176.3745 1210.0 188
176.6711 1200.0 188
176.9843 1192.0 188
177.2809 1184.0 188
177.5775 1176.0 188
177.9346 1170.0 188
178.2477 1160.0 188
178.5443 1152.0 188
178.8574 1146.0 188
179.1541 1136.0 188
179.4507 1128.0 188
179.7638 1122.0 188
180.1208 1114.0 188
180.4175 1106.0 188
180.7141 1100.0 188
181.0272 1092.0 188
181.3239 1086.0 188
181.6370 1078.0 188
181.9336 1072.0 188
182.2961 1066.0 188
182.5928 1058.0 188
182.9059 1054.0 188
183.2025 1048.0 188
183.5156 1042.0 188
183.8123 1034.0 188
184.1089 1028.0 188
184.4659 1024.0 188
184.7791 1018.0 188
185.0757 1010.0 188
185.3723 1006.0 188
185.6854 1000.0 188
185.9821 994.0 188
186.2952 988.0 188
186.5918 984.0 188
186.9489 978.0 188
187.2455 972.0 188
187.5586 968.0 188
187.8552 964.0 188
188.1519 958.0 188
188.4650 954.0 188
188.7616 950.0 188
189.1241 944.0 188
189.3713 946.0 188
189.6680 946.0 188
190.0305 944.0 188
190.2777 946.0 188
190.5908 950.0 188
190.8875 956.0 188
191.1841 962.0 188
191.4972 966.0 188
191.7938 972.0 188
192.1069 978.0 188
192.4036 982.0 188
192.6563 990.0 188
192.9529 996.0 188
193.2605 1002.0 188
193.5571 1008.0 188
193.8702 1016.0 188
194.1669 1022.0 188
194.4196 1028.0 188
194.7162 1036.0 188
195.0293 1042.0 188
195.3259 1050.0 188
195.6226 1058.0 188
195.9357 1066.0 188
196.1829 1072.0 188
196.4795 1080.0 188
196.7761 1088.0 188
197.0892 1096.0 188
197.3859 1104.0 188
197.6990 1114.0 188
197.9517 1122.0 188
198.2483 1130.0 188
198.5449 1140.0 188
198.8580 1152.0 188
199.1547 1160.0 188
199.4678 1168.0 188
199.6985 1178.0 188
200.0116 1188.0 188
200.3082 1202.0 188
200.6213 1212.0 188
200.9180 1222.0 188
201.1707 1236.0 188
201.7804 1250.0 188
202.6978 6584.0 188
202.9999 6640.0 188
203.3075 6696.0 188
203.6041 6728.0 188
203.9063 6784.0 188
204.2139 6928.0 188
204.5105 7056.0 188
204.8236 7128.0 188
205.4169 7184.0 188
205.7300 6800.0 188
206.0266 6816.0 188
206.3397 6840.0 188
206.6364 6816.0 188
206.9330 6792.0 188
207.2461 6768.0 188
207.5427 6712.0 188
207.8558 6744.0 188
208.1525 6848.0 188
209.0588 6864.0 188
209.9817 8008.0 188
210.8276 8656.0 188
211.1353 8864.0 188
211.7340 9872.0 188
212.6514 9328.0 188
213.8544 11744.0 188
214.1675 11784.0 188
214.4641 11736.0 188
214.7607 11720.0 188
215.3705 11624.0 188
215.9198 12360.0 188
216.2329 12360.0 188
216.5295 12312.0 188
216.8866 12184.0 188
217.1997 12176.0 188
218.1061 10792.0 188
218.4192 10656.0 188
218.7158 10568.0 188
219.0289 10432.0 188
221.3086 768.0 188
221.6217 760.0 188
221.9183 752.0 188
222.2314 746.0 188
222.5885 742.0 188
222.8906 738.0 188
223.1982 734.0 188
223.4949 732.0 188
223.8080 730.0 188
224.1046 728.0 188
224.4177 726.0 188
224.7144 724.0 188
225.0110 724.0 188
225.3900 722.0 188
225.6866 722.0 188
225.9338 724.0 188
226.2305 726.0 188
226.5436 726.0 188
226.8402 726.0 188
227.1533 726.0 188
227.4500 726.0 188
227.7631 726.0 188
228.0597 726.0 188
228.3728 728.0 188
228.6694 730.0 188
228.9825 732.0 188
229.2792 734.0 188
229.5923 738.0 188
229.8889 742.0 188
230.1361 746.0 188
230.4492 750.0 188
230.7458 756.0 188
231.0590 764.0 188
231.6083 778.0 188
233.0310 12080.0 188
233.3386 12056.0 188
233.6353 12056.0 188
234.5581 11912.0 188
235.4645 11888.0 188
236.1841 5584.0 188
236.4972 5456.0 188
237.2168 4000.0 188
237.5134 4000.0 188
237.8265 4000.0 188
238.1232 4004.0 188
238.4363 4000.0 188
238.7329 4004.0 188
239.0460 4004.0 188
239.3427 4008.0 188
239.6558 4004.0 188
240.2655 4008.0 188
243.9844 608.0 188
244.3414 592.0 188
245.1215 556.0 188
245.4840 542.0 188
245.8411 528.0 188
246.1981 514.0 188
246.5771 502.0 188
246.9836 491.0 188
247.3407 480.0 188
247.6978 469.0 188
248.0603 459.0 188
248.4174 449.0 188
248.7964 441.0 188
249.2029 431.0 188
249.5105 425.0 188
249.8730 423.0 188
