#RPLIDAR SCAN DATA
#COUNT=499
#Angule	Distance	Quality
84.1992 740.0 188
84.5453 740.0 188
84.8859 740.0 188
85.2319 738.0 188
85.5780 724.0 188
85.9680 716.0 188
86.3086 716.0 188
86.6547 714.0 188
86.9952 714.0 188
87.3413 714.0 188
87.6874 712.0 188
88.0280 714.0 188
88.3740 718.0 188
88.7146 714.0 188
89.0607 714.0 188
89.4012 716.0 188
89.7473 716.0 188
90.0934 716.0 188
90.4340 716.0 188
90.7800 718.0 188
91.0602 728.0 188
91.4063 736.0 188
91.7468 738.0 188
92.0929 738.0 188
92.4335 740.0 188
92.7795 744.0 188
94.9658 1046.0 188
95.3119 1046.0 188
95.6525 1058.0 188
95.9985 1052.0 188
96.3391 1040.0 188
96.6852 1042.0 188
97.0313 1046.0 188
97.3718 1048.0 188
97.7179 1048.0 188
98.0585 1048.0 188
98.4045 1048.0 188
98.7451 1050.0 188
99.0912 1056.0 188
99.4373 1056.0 188
99.7614 1056.0 188
100.1074 1058.0 188
100.4480 1060.0 188
100.7941 1062.0 188
101.1401 1062.0 188
101.4807 1064.0 188
101.8268 1064.0 188
102.5134 1068.0 188
103.7164 924.0 188
104.0625 928.0 188
104.4031 930.0 188
104.7491 932.0 188
105.0897 932.0 188
105.4358 934.0 188
105.7764 934.0 188
106.1224 938.0 188
106.4685 940.0 188
106.8091 940.0 188
107.1552 936.0 188
107.4957 922.0 188
107.8418 914.0 188
108.1824 922.0 188
108.8745 926.0 188
110.3741 1516.0 188
110.7147 1518.0 188
111.0608 1520.0 188
111.4014 1522.0 188
111.7474 1526.0 188
112.0935 1530.0 188
112.4341 1536.0 188
112.7142 1544.0 188
113.0603 1548.0 188
113.4009 1540.0 188
113.8074 1532.0 188
114.0930 1538.0 188
114.4336 1558.0 188
114.7797 1570.0 188
115.1202 1576.0 188
115.4663 1580.0 188
115.8124 1584.0 188
116.4990 1594.0 188
117.5153 1146.0 188
117.8558 1150.0 188
118.2019 1154.0 188
118.8885 1158.0 188
119.6851 1068.0 188
120.0311 1056.0 188
120.3717 1062.0 188
121.0583 1066.0 188
121.8109 1020.0 188
122.1515 1022.0 188
122.4371 1026.0 188
122.7777 1030.0 188
123.1238 1036.0 188
123.4644 1040.0 188
123.8104 1042.0 188
124.1510 1046.0 188
124.4971 1050.0 188
124.8431 1054.0 188
125.1837 1058.0 188
125.5298 1062.0 188
125.8704 1068.0 188
